LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.017    0.006 base.py:1(<module>)
        1    0.000    0.000    0.017    0.017 Image.py:1(<module>)
       50    0.017    0.000    0.017    0.000 LebwohlLasher3.py:232(MC_step)
      301    0.000    0.000    0.017    0.000 templates.py:481(apply)
      305    0.000    0.000    0.016    0.000 templates.py:272(_select)
    82/69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    82/69    0.004    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
     1303    0.000    0.000    0.016    0.000 errors.py:224(__init__)
      305    0.003    0.000    0.016    0.000 context.py:592(resolve_overload)
      132    0.000    0.000    0.016    0.000 _docstring.py:38(__call__)
35296/35171    0.007    0.000    0.016    0.000 {method 'join' of 'str' objects}
      321    0.000    0.000    0.016    0.000 registry.py:39(target_context)
        1    0.000    0.000    0.016    0.016 registry.py:29(_toplevel_target_context)
        1    0.000    0.000    0.016    0.016 cpu.py:41(__init__)
        1    0.000    0.000    0.016    0.016 base.py:225(__init__)
     1303    0.001    0.000    0.016    0.000 initialise.py:37(init)
  122/111    0.000    0.000    0.016    0.000 _docstring.py:79(__call__)
10525/10031    0.012    0.000    0.015    0.000 {built-in method __new__ of type object at 0x1044095f0}
        1    0.000    0.000    0.015    0.015 rules.py:1(<module>)
    24672    0.004    0.000    0.015    0.000 templates.py:1300(new_registrations)
     1057    0.001    0.000    0.015    0.000 extending.py:129(decorate)
        1    0.000    0.000    0.015    0.015 arrayobj.py:1(<module>)
        1    0.000    0.000    0.015    0.015 entrypoints.py:1(<module>)
      261    0.000    0.000    0.015    0.000 _compiler.py:571(_code)
     1099    0.005    0.000    0.015    0.000 inspect.py:2333(_signature_from_function)
     2400    0.003    0.000    0.015    0.000 base.py:352(install_registry)
        1    0.000    0.000    0.014    0.014 _laplacian.py:1(<module>)
     2606    0.002    0.000    0.014    0.000 initialise.py:111(wrap_stream)
      135    0.000    0.000    0.014    0.000 postproc.py:52(deadmaps)
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
        2    0.000    0.000    0.014    0.007 core.py:235(read_style_directory)
        1    0.000    0.000    0.014    0.014 rules.py:15(_init_casting_rules)
       46    0.000    0.000    0.014    0.000 castgraph.py:119(insert_rule)
        1    0.000    0.000    0.014    0.014 cpu.py:48(init)
     8224    0.003    0.000    0.014    0.000 values.py:557(_set_name)
     2161    0.001    0.000    0.014    0.000 <frozen abc>:105(__new__)
       46    0.003    0.000    0.014    0.000 castgraph.py:92(propagate)
        1    0.000    0.000    0.014    0.014 codegen.py:1163(__init__)
       16    0.000    0.000    0.014    0.001 codegen.py:1400(_add_module)
       16    0.000    0.000    0.014    0.001 codegen.py:1094(add_module)
3002/2997    0.002    0.000    0.014    0.000 abstract.py:61(__call__)
      117    0.013    0.000    0.014    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      399    0.004    0.000    0.013    0.000 numpy_support.py:357(ufunc_find_matching_loop)
        2    0.000    0.000    0.013    0.007 extending.py:1(<module>)
     1015    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
34987/32501    0.009    0.000    0.013    0.000 abstract.py:121(__hash__)
       68    0.000    0.000    0.013    0.000 ir.py:1527(infer_constant)
   104/68    0.000    0.000    0.013    0.000 consts.py:24(infer_constant)
       16    0.000    0.000    0.013    0.001 codegen.py:1087(_load_defined_symbols)
     1094    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    94/66    0.000    0.000    0.013    0.000 consts.py:56(_do_infer)
       13    0.000    0.000    0.013    0.001 lowering.py:811(lower_getitem)
        2    0.000    0.000    0.013    0.006 _adapters.py:1(<module>)
39975/39768    0.004    0.000    0.013    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
